initiative_id,name,workstream,type,owner,plan_runrate,current_estimate,stage,days_in_stage,planned_month,delivered_month,cta_budget,cta_spent
S001,Consolidate MRO supply base,Procurement,Cost,CIO,551000.0,616000.0,Banked,32,2,4.0,153000.0,123000.0
S002,Harmonise fleet leasing,Procurement,Cost,CIO,1206000.0,1550000.0,Delivered,11,11,12.0,251000.0,267000.0
S003,Single-source PPE and consumables,Procurement,Cost,COO,113000.0,126000.0,Delivered,77,5,7.0,22000.0,27000.0
S004,Renegotiate steel and fixings,Procurement,Cost,CFO,686000.0,831000.0,Delivered,58,8,8.0,184000.0,314000.0
S005,Combine utilities contracts,Procurement,Cost,CIO,657000.0,727000.0,Banked,18,4,4.0,282000.0,279000.0
S006,Rationalise subcontractor panel,Procurement,Cost,Group Procurement,618000.0,586000.0,Validated,89,19,,155000.0,173000.0
S007,Consolidate plant hire,Procurement,Cost,CIO,1090000.0,1273000.0,In execution,104,17,,165000.0,159000.0
S008,Harmonise telematics contract,Procurement,Cost,CCO,366000.0,382000.0,Delivered,43,7,6.0,117000.0,166000.0
S009,Combine waste and recycling,Procurement,Cost,Group Procurement,913000.0,994000.0,Banked,60,4,6.0,312000.0,399000.0
S010,Rationalise duplicate finance roles,Organisation design,Cost,COO,501000.0,335000.0,Banked,17,2,1.0,83000.0,77000.0
S011,Merge HR shared services,Organisation design,Cost,CCO,661000.0,773000.0,In execution,23,13,,185000.0,193000.0
S012,Consolidate regional management layer,Organisation design,Cost,Group Procurement,1493000.0,1348000.0,Delivered,8,13,13.0,594000.0,594000.0
S013,Combine health and safety function,Organisation design,Cost,CIO,645000.0,545000.0,In execution,57,17,,235000.0,272000.0
S014,Integrate procurement teams,Organisation design,Cost,Group Procurement,732000.0,802000.0,Delivered,4,5,5.0,187000.0,182000.0
S015,Merge bid and estimating teams,Organisation design,Cost,CFO,768000.0,711000.0,Banked,23,4,6.0,134000.0,151000.0
S016,Exit Tipton depot,Property & sites,Cost,Integration MD,401000.0,319000.0,Banked,28,2,5.0,61000.0,68000.0
S017,Consolidate Midlands storage,Property & sites,Cost,CCO,535000.0,624000.0,Banked,16,3,2.0,161000.0,269000.0
S018,Sublet Warrington office floor,Property & sites,Cost,Group Procurement,1060000.0,1160000.0,Delivered,25,4,5.0,329000.0,345000.0
S019,Close duplicate Glasgow branch,Property & sites,Cost,COO,604000.0,683000.0,Validated,21,21,,112000.0,122000.0
S020,Migrate to single ERP instance,IT & systems,Cost,Integration MD,271000.0,277000.0,Identified,12,21,,103000.0,9000.0
S021,Consolidate field service platform,IT & systems,Cost,CFO,381000.0,418000.0,Delivered,67,10,9.0,102000.0,170000.0
S022,Rationalise licence estate,IT & systems,Cost,Group Procurement,566000.0,587000.0,Validated,68,15,,189000.0,218000.0
